,deu,nds
8577,Studiert ihr Chemie?,Studeert ji Chemie?
3163,Nein.,Nee.
32236,Die mit einem Hammer gekreuzte Sichel symbolisierte die Vereinigung als Teil in der Sowjetunion.,De mit en Hamer krüüzt Sicht symboliseer de Vereenigung as Deel vun de Sowjetunion.
4091,"Ich frage mich, warum Tennis in Miniröcken gespielt wird.","Ik fraag mi, worüm se Tennis in Miniröck speelt?"
18774,"Auch die Umstände, unter denen die Figuren auf die Isle of Lewis kamen, sind unbekannt.","Ok de Umständ, ünner de de Figuren op de Isle of Lewis kamen sünd, sünd nich bekannt."
16542,Sie schliefen in einer Scheune.,Se slöpen in ’nee Schüün.
8199,Wie alt bin ich?,Wo oolt bün ik?
13260,Er stand hinter der Tür.,He stünn achter de Döör.
18706,"Als er 1906 die Baustelle des Kanals besuchte, war er der erste amtierende Präsident, der die USA verließ.","As he 1906 de Baustäe vun den Kanal besöcht hett, weer he de eerste amteeren Präsident, de de USA verlaaten hett."
3179,Vor dem Bahnhof ist ein großer Parkplatz.,Vör ’nBahnhoff is en groten Parkplatz.
19555,"Um den gewünschten Sound zu erreichen, wurden für den Jazz so ungewöhnliche Instrumente wie die Tuba und das Horn eingesetzt.","Um den gewünsten Sound hentokriegen, wurrn för den Jazz so ungewöhnlich Instrumente as de Tuba un dat Hoorn insett."
2238,Er küsste mich auf die Stirn.,He deed mi op ’n Vörkopp küssen.
14966,Ungefähr zehn Leute warten.,Bi teihn Lüüd töövt.
2565,Ich würde gerne Yen in Dollar wechseln.,Ik woll geern Yen in Dollar wesseln.
40808,Als Rundfunk-Unterhalter stand er in der Nachfolge von Ludwig Manfred Lommel und war ein Vorgänger von Heinz Erhardt.,As Rundfunk-Ünnerholler stünn he in de Nafolg vun Ludwig Manfred Lommel un weer en Vörgänger vun Heinz Erhardt.
3786,Mein Name ist Sascha.,Mien Naam is Sascha.
8888,Der April macht was er will.,De April maakt wat he will.
9811,Sie strickte ihm einen Pullover.,Se deed em en Pullover knütten.
9932,"Sie konnte ihn nicht überzeugen, nach Hause zu gehen.","Se kunn em nich övertügen, na Huus to gahn."
21990,"Aus diesem Grunde legte sich Mazan den Namen „Breton“ nach seiner Heimat, der Bretagne, zu.","Ut dissen Grund hett sück Mazan de Naam „Breton“ nah sien Heimat, de Bretagne, toleggt."
15897,"Ich denke, dass ich nun weggehen muss.","Mi dücht, dat ik nu weggahn mutt."
7897,Der Präsident der USA ist gerade in Japan.,De Präsident vun de USA is jüst in Japan.
1452,Wie hoch ist dieser Berg?,Wo hooch is düsse Barg?
14030,Es ist eine schöne Stadt.,Dat is en smucke Stadt.
43266,"Seine professionelle Karriere begann 1957 in der Band von Mel Melvin, in der ebenfalls sein Bruder Bill spielte.","Sien professionell Karriere fung 1957 in de Band vun Mel Melvin an, in de ok sien Bröer Bill speel."
8043,Gestern habe ich ihnen geholfen.,Güstern heff ik jem hulpen.
8028,Der Mississippi mündet in den Golf von Mexiko.,De Mississippi münnt in ’n Golf vun Mexiko.
16666,"Wir müssen wissen, was passiert ist.","Wi mööt weten, wat passert is."
30869,Am Ersten Weltkrieg nahm Tartakower als Offizier der österreichisch-ungarischen Armee teil.,An' Eersten Weltkrieg hett Tartakower as Offizier vun de öösterrieksch-ungaarsch Armee deelnommen.
30743,"Im Kriegsverlauf bildeten sich zwei militärische Allianzen, die als Achsenmächte und Alliierte bezeichnet werden.","In' Kriegsverloop hebbt sück twee militärisch Allianzen bildt, de as Assenmächte un Allieerte betekent wurrn."
5328,Das Taxi holte zwei Fahrgäste ab.,Dat Taxi hett twee Fohrgäst afhaalt.
6805,Willkommen an Bord!,Willkamen an Boord!
27408,1980 startete der Bandleader seine letzte Europa-Tournee.,1980 hett he sien letzte Europa-Tournee start.
5338,Ich will dieses Hemd nicht.,Ik will dit Hemd nich.
12151,"Ich möchte, dass er ein Lied singt.",Ik will dat he en Leed singt.
3243,Er hat Kopfweh.,He hett Koppwehdaag.
13127,Brauchst du viel Geld?,Bruukst du veel Geld?
30800,"Von 1969 bis 1977 konnte er, mit Ausnahme von 1975, bei jeder Weltmeisterschaft mindestens eine Goldmedaille gewinnen.","Van 1969 bet 1977 kunn he, mit Utnahm vun 1975, bi jeder Weltmeesterschap mindst en Goldmedaille winnen."
6736,Das ist ein Turm.,Dat is en Toorn.
2423,Yukio Mishima nahm sich 1970 das Leben.,Yukio Mishima hett sik 1970 dat Leven nahmen.
10346,Das Haus war teurer als erwartet.,Dat Huus weer dürer as dacht.
3048,Sie stammt aus Frankreich.,Se stammt ut Frankriek.
12971,Ich war neulich im Museum.,Ik weer nülich in ’t Museum.
29521,"Svetozar Gligorić schrieb 1972, dass selbst seine besten Freunde nicht in seine Vorbereitungen eingeweiht wurden.","Svetozar Gligorić schreev 1972, dat sülvst sien best Früenden nich in sien Vörbereiten inweeht wurrn."
2272,Sie haben gleichzeitig angefangen.,Se hebbt gliektiedig anfungen.
17053,Sie hat ihm etwas zu essen gegeben.,Se hett em wat to eten geven.
36220,Das Schloss hatte eine große Bedeutung in der deutsch-französischen Geschichte.,Dat Slott harr en groot Bedüüden in de düütsch-fransch Geschicht.
39205,"Niemand ahnt, dass Alice’ Bruder Rudd der Kopf der Räuberbande ist.","Keeneen weet, dat Alice ehr Broder Rudd de Kopp vun de Röverbande is."
13530,Es staubt.,Dat stöfft.
16808,Ich möchte diesen Film gerne sehen.,Ik will dissen Film geern sehn.
13565,"Wie kannst du sagen, dass unsere Soldaten für nichts gestorben sind.","Wo kannst du seggen, dat uns Soldaten för nix storven sünd?"
31939,Immer war 1952/53 Mitglied der GVP.,Immer weer 1952/53 Liddmaat vun de GVP.
32695,Er war auch an Einspielungen von Eddie Condon und Phil Napoleon beteiligt.,He weer ok an Inspeelungen vun Eddie Condon alldaags Phil Napoleon bedeeligt.
2335,Abwarten und Tee trinken.,Aftöven un Tee drinken.
2866,Köln liegt am Rhein.,Köln liggt an ’n Rhien.
10037,O nein! Ich habe meine Geldbörse vergessen.,Oh nee! Ik heff mien Portmanneet vergeten.
7215,"Mach es, wie es dir gefällt.","Maak dat, as di dat dücht."
8922,Ich wohne gleich da drüben.,Ik wahn gliek dar achtern.
5363,Tom kann nicht besser schwimmen als ein Stein.,Tom kann nich beter swemmen as en Steen.
35666,Die Amtszeiten der Bürgermeister bis 1750 sind nur zum Teil bekannt.,De Amtstieden vun de Börgermeesters bet 1750 sünd nich bekannt.
25268,Mit dieser Uniform setzten sich Blau-Weiß als Farbe der Provinz allgemein durch.,Mit düsse Uniform hett sück Blau-Witt as Farv vun de Provinz allgemeen dörsett.
5779,Meine Tochter schläft tief und fest.,Mien Dochter slöppt deep un fast.
27521,1984 war er Mitglied der Formation „Bebop and Beyond“ mit John Handy und Cables.,1984 weer he Liddmaat vun de Formatschoon „Bebop and Beyond“ mit John Handy un Cables.
20855,Antike Ruinen sind mit der Renaissance (um 1500) in das Interesse von Kunst und Kultur getreten.,Antike Ruinen sünd mit de Renaissance (üm 1500) op dat Intresse vun Kunst un Kultur stött.
12987,"Sophie war so hungrig, dass sie alles aufaß, was sie in die Finger bekam.","Phie weer so hungerig, dat se allens opeten deed, wat se in ’e Finger kriegen deed."
3387,"Noriko hat nicht nur Englisch gelernt, sondern auch Deutsch.","Noriko hett nich bloot Engelsch lehrt, man ok Düütsch."
18287,"Caminho, 1980 (deutsch: Hoffnung im Alentejo.","Caminho, 1980 (düütsch: Hoffnung em Alentejo."
16592,Wir brauchen euer Geld nicht.,Wi bruukt joon Geld nich.
1993,"Der Arzt gab ihm Anweisung, sich zu erholen.","De Dokter hett em seggt, he schölen sik verhalen."
7849,Ein Versprechen reicht nicht.,En Verspreken reckt nich.
15952,Das ist aber teuer!,Dat is aver düer!
18208,Nicht trinken.,Water nich.
11133,"Je tiefer man taucht, umso kälter wird das Wasser.","Wo deper een duukt, wo köler warrt dat Water."
40577,Dort war er an der Entwicklung und Erprobung der betriebsnahen Bildungsarbeit und betriebsnahen Tarifpolitik beteiligt.,Dor weer he an de Entwklung un Erprobung vun de bedrievsnah Bildungsarbeit un bedrievsnah Tarifpolitik bedeeligt.
10382,Das hier ist ein Foto von meinem Gemälde.,Dat hier is en Foto vun mien Schilleraats.
795,Er wird vor 5 Uhr zurück sein.,He schall woll vör Klock fief trügg wesen.
27353,Von Januar 1978 bis März 1989 war Popowitsch für den Bereich Wissenschaft und Forschung im Juri-Gagarin-Kosmonautentrainingszentrum verantwortlich.,Van Januar 1978 bet März 1989 weer Popowitsch för den Beriek Wetenschop un Forschung in dat Juri-Gagarin-Kosmonautentrainingszentrum verantwortlich.
13746,An diesem Steak beißt man sich ja die Zähne aus.,An dit Steak bitt ’n sik ja de Tahn ut.
17694,Die Yale Law School ist die selektivste Law School der Vereinigten Staaten.,De Yale Law School is de selektivste Law School vun de USA.
14244,Mir geht es schlecht.,Mi geiht dat slecht.
7814,Orangen sind reich an Vitamin C.,Appelsienen hebbt veel Vitamin C.
4951,Das bricht mir das Herz!,Dat brkt mi dat Hart!
15461,Ein Haarbüschel schaute unter ihrem Hut heraus.,En Pull Hoor keek ünner ehr Huuv rut.
37133,Lita Grey wurde als Tochter einer Mexikanerin und eines Schotten geboren.,Lita Grey weer de Dochter vun en Mexikanerin un en Schotten.
20785,Sein Bruder ist der Kantor und Komponist Ludger Stühlmeyer.,Sien Broder is de Kantor un Komponist Ludger Stühlmeyer.
4182,Wie viel kostet ein halbes Kilo?,Woveel köst en half Kilo?
7778,Sie trug ein schönes Kleid.,Se harr en smuck Kleed an.
11075,Ab jetzt sage ich nichts mehr ohne meinen Anwalt.,Von nu af an segg ik nix mehr ahn mien Afkaat.
2941,Er ist mein Freund.,He is mien Fründ.
11740,"Ja, ich habe sechs Mal gefragt.","Jo, ik heff söss Maal fraagt."
10542,Er ist zweimal in England gewesen.,He is twee Maal in England wesen.
11383,Der Kurs fängt um zehn an.,De Kurs fangt Klock teihn an.
6829,"Wenn es Silvester schneit, ist Neujahr nicht weit.","Wenn ’t Ooljohrsavend sniet, is Neejohr nich wiet."
43451,Der Höhepunkt seiner Karriere war der Gewinn der Einzelweltmeisterschaft 1982 in Dublin auf dem Fuchswallach Fire.,De Hööchpunkt vun sien Karriere weer de Gewinn vun de Eenzelweltmeesterschap 1982 in Dublin op den Fuchswallach Fire.
14408,"Als Markus ankam, schlief ich.","As Marcus ankeem, deed ik slapen."
13850,Der Rektor schüttelte jedem Schulabgänger die Hand.,De Rekter deed elkeen vun de Schoolafgängers de Hannen schüdden.
16161,Sie zog sich an.,Se taag sik an.
1684,Ich ziehe nächsten Monat aus.,Ik trecken tokamen Maand ut.
12125,Kennst du es wirklich nicht?,Kennst du dat würklich nich?
11123,Käse lässt sich leicht mit einem Messer schneiden.,Kees lett sik licht mit en Mess snieden.
3941,"Er hob die Hand, um eine Frage zu stellen.",He deed de Hand oplangen un woll en Fraag stellen.
13481,Ich muss mit dir über etwas reden.,Ik heff wat mit di to bekören.
5282,Lerne!,Lehr!
22006,Über sein Leben weiß man nur wenig.,Över sien Leven weet man wenig.
11717,Es wird derzeit bereits um halb sechs dunkel.,To Tied warrt dat al halvig söss düüster.
29925,Andrzej Bartkowiak (* 1950 in Łódź) ist ein polnischer Kameramann und Filmregisseur.,Andrzej Bartkowiak (* 1950 in Łódź) is en poolschen Kameramann un Filmspeelbaas.
18557,Sie heiratete daraufhin Willie Morton.,Se hett denn Willie Morton heiraadt.
20731,Das Land der Indianer.,Indianers in dat Land.
19562,Der Numerus clausus wurde auf seine Initiative hin aufgehoben.,De Numerus clausus wurr op sien Initiative hen op.
23731,"Seine Mutter war eine Choctaw, sein Vater halb Cherokee und halb Afroamerikaner.","Sien Moder weer en Choctaw, sien Vater half Cherokee un half Afroamerikaner."
7842,"Er sagt, er habe noch eine Rechnung mit dir offen.","He seggt, he hett noch en Reken mit di apen."
43323,Die Südseite des Berges ist vom Yellowhead Highway aus gut sichtbar.,De Süüdsiet vun den Barg is vun den Yellowhead Highway ut goot to sehn.
4823,Hast du dein Buch gefunden?,Hest du dien Book funnen?
10214,Sie haben mich lange warten lassen.,Se hebbt wi lang töven laten.
4615,"Ich habe dich sehr vermisst, als du in Frankreich warst.","Ik heff di dull misst, as du in Frankriek weerst."
9122,Ich schmecke Salz.,Ik smeck na Solt.
12028,Das Grundstück der Schule reicht bis zu diesem Zaun.,Dat Grundstück vun de School recht bet na dissen Tuun.
33780,Nun schirmte er sein Privatleben erst recht strikt vor der Öffentlichkeit ab.,Nu hett he sien Privatleven eerst recht vun de Apenlichkeit afschermt.
40586,"Nach einem Jahr in Kalifornien kehrte er 1937 nach New York zurück, wo er im Famous Door Club spielte.","Nah een Jahr Kalifornien kehr he 1937 nah New York torüch, wo he in' Famous Door Club speel."
16866,Ein kleiner Sonnenkäfer läuft am Fenster hoch.,En lütte Goodskoh krabbelt dat Finster hooch.
2402,Du hättest ihr die Wahrheit sagen sollen.,Du harrst ehr de Wahrheit vertellen schullt.
30979,Bei diesem Unfall entsteht ein Sachschaden von 32 Millionen Euro.,Bi dissen Unfall kummt en Schaden vun 32 Millionen Euro tosamen.
7654,Sprichst du Hebräisch?,Snackst du Hebrääsch?
2915,Er ist blond.,He is en Flasskopp.
16854,Du bist so ein Blödmann!,Du büst so en Dummbüdel!
33186,Das Subjekt kann nicht mehr Ursprung aller Erkenntnis und Wahrheit sein.,Dat Subjekt kann nich mehr Oorsprung vun all Erkenntnis un Wahrheit ween.
4929,"Mich freut, dass dir mein Geschenk gefallen hat.","Mi freit, dat di mien Geschenk gefullen hett."
15036,Die Römer bauten eine Flotte von dreihundert Schiffen.,De Römers hebbt en Flott vun dreehunnerd Scheep boot.
45819,Sie steigt im Gebirge nicht über die Baumgrenze.,Se stiggt in de Bargen nich över de Boomgrenz.
21330,10 % der Bewohner waren Studenten.,10 % vun de Inwahners sünd Studenten.
3794,Wissen ist Macht.,Weten is Macht.
38991,Desnoiresterres lebte als Mitarbeiter verschiedener Journale in Paris.,Desnoiresterres leef as Mitarbeiter vun verscheeden Journalen in Paris.
8516,Ich bin ein französischer Bürger.,Ik bün en franzööschen Börger.
10507,"Ich denke, die Suppe benötigt eine Prise Salz.","Mi dücht, de Supp bruukt en Pries Solt."
14835,Ich muss dich um einen kleinen Gefallen bitten.,Ik mutt di üm en lütten Gefallen bidden.
33395,In der Folge nahm sie auf Anraten Fischers in den Pfingstferien am Stützpunkttraining in Ruhpolding teil.,In de Foolt nehm se op Anraaden vun Fischer in de Pingstferien an dat Stützpunkttraining in Ruhpolding deel.
5548,Die Anzahl der sichtbaren Sterne ist sehr groß.,De Tall sichtbore Steerns is temlich groot.
6087,Die Mutter gibt ihrem Sohn einen Apfel.,De Moder gifft ehren Söhn en Appel.
27921,Während der Hinrichtungen waren auch der deutsche Vizekanzler Franz Blücher und der Bundesfinanzminister Fritz Schäffer anwesend.,Während de Henrichtungen weern ok de düütsch Viezkanzler Franz Blücher un de Bundsfinanzminister Fritz Schäffer anwesend.
13991,Wir gehen in einer Stunde an Bord.,Wi gaht in een Stünn an Boord.
20200,Einige seiner Zeichen sind in das IPA-Alphabet eingegangen.,Eenige vun sien Tekens sünd in dat IPA-Alphabet ingungen.
17446,Er ist bei seinen Eltern.,He is bi sien Öllern.
5824,"Ich freue mich sehr, dich zu sehen.","Ik frei mi dull, di to sehn."
1843,Du bist sehr tapfer.,Ji bunt bannig dapper.
564,Ist das reines Gold?,Is dat schier Gold?
8179,"Ich gehe lieber, als mit dem Bus zu fahren.",Ik loop lever as mit ’n Bus to föhren.
3732,Ich habe braunes Haar.,Ik heff bruun Hoor.
10089,Die amerikanische Flagge hat fünfzig Sterne.,De amerikaansche Flagg hett föfftig Steerns.
7081,Ein Fisch sprang aus dem Wasser.,En Fisch sprüng ut dat Water.
12835,"Wie schade, dass du schon gehen musst.","Wo schaad, dat du al gahn musst."
5555,Die Länge dieses Schiffs beträgt 30 Meter.,Dat Schipp is dörtig Meter lang.
1392,Das stimmt. Du warst damals drei Monate alt.,Dat Stimmt. Du weerst do dree Maand oolt.
5116,Kennst du sie?,Kennst du ehr?
29387,1897 malte er die große Komposition Wissenschaft und Nächstenliebe.,1897 hett he de groot Kompositschoon Wetenschop un Nächstenleev malt.
11641,Können wir miteinander reden?,Köönt wi mitenanner snacken?
11459,Ich bin gerne mit dir zusammen.,Ik bün geern mit di tohoop.
3621,"Er erwägt, sein Haus zu veräußern.","He denkt na, sien Huus to verköpen."
13632,Angeblich ermöglicht die Methode der Injakulation Männern multiple Orgasmen.,"’T warrt seggt, dat mit de Methood vun de Injakulation Mannslüüd multiple Orgasmen hebben köönt."
5236,Komm her und schau es dir an!,Kaam her un kiek di dat an!
7397,Ich bin gerade aufgestanden.,Ik bün jüst opstahn.
3880,Frankreich grenzt an Italien.,Frankriek grenzt an Italien.
8422,Die Hälfte der Schüler ist abwesend.,De Halvscheed vun all de Schölers is nich dar.
12172,Es ist heiß hier drinnen.,Dat is heet hier binnen.
8866,Die Ärzte wollen keine zweite Operation machen.,De Dokters wullen keen twede Operation maken.
5455,Wo machen sie das?,Woneem doot se dat?
45615,Hauptstadt war Cagliari.,De Hööftstadt is Cagliari.
41879,Dabei kam ihr die Idee eine Geschichte rund um das Boxen zu generieren.,"Dat hett se op de Idee bröcht, een Film över dat Boxen to maken."
78,Du bist ein Engel!,Du büst en Engel!
8839,Es gibt auf deine Frage keine Antwort.,Dat gifft op dien Fraag keen Antwoord.
10327,Das Haus dort gehört mir.,Dat Huus dar höört mi to.
45835,Die Sowjetunion berührte 11 der 24 Zeitzonen der Erde.,De Sowjetunion hett 11 vun de 24 Tiedzonen vun de Eerd anraakt.
13686,"Es macht mir nichts aus, wenn es heiß ist.","Dat maakt mi nix ut, wenn dat heet is."
16413,Yōko kann sich keinen Rechner kaufen.,Yōko kann sik keen Reekner köpen.
20603,"Im Kleinen Hund befinden sich keine nebligen Objekte, die mit kleineren oder mittleren Teleskopen beobachtet werden können.","In’n Lütten Hund gifft dat keen sünneren Objekten, de mit lütte oder middlere Teleskopen bekeken warrn künnt."
10505,Lass deine Suppe nicht kalt werden.,Laat dien Supp nich koolt warrn.
2690,Dieser Roman ist schwierig zu verstehen.,Disse Romaan is swaar to verstahn.
21955,Auch über 85 % der graduate students erhalten eine finanzielle Unterstützung.,Ok över 85 % vun de graduate students kriegen en finanzielle Ünnerstütten.
23344,Nach dem Mord an Theo van Gogh kam es in den Niederlanden auch zu Brandanschlägen auf islamische und christliche Einrichtungen.,Nah den Morgen an Theo vun Gogh keem dat in den Nedderlannen ok to Brandanslääg op islamisch un christlich Inrichtungen.
45715,Der Schriftsteller John Millington Synge lebte von 1899 bis 1902 auf den Aran-Inseln und schrieb über sie.,De Schriever John Millington Synge hett vun 1899 bet 1902 op de Aran-Eilannen leevt un över jem schrieven.
9656,Sie ist mit ihm in das Kino gegangen.,Se is mit em in ’t Kino gahn.
7983,"Ich glaube nicht, dass es Gespenster gibt.","Ik glööv nich, dat dat Spökels gifft."
21411,Van ’t Hoffs Vater war als praktischer Arzt in Rotterdam tätig.,Van 't Hoff sien Vadder weer as praktisch Dokter in Rotterdam tätig.
13717,Ich hätte das Geld nehmen sollen.,Ik harr dat Geld nehmen schullt.
33981,Die Band hat über 13 Millionen Alben und über 16 Millionen Singles verkauft.,De Grupp hett alltohoop al mehr as 5 Millionen Alben un 16 Millionen Singles verköfft.
32502,Lockyer wendete 1887 den Dopplereffekt zur Bestimmung der Rotationsperiode der Sonne an und erstellte eine Theorie zur Sternentwicklung.,Lockyer hett 1887 den Dopplereffekt to dat Bestimmen vun de Rotatschonsperiood vun de Sünn bruukt un hett en Theorie to de Steernentwklung op.
24381,Diese Rasse stammt aus der westlichen Mittelmeergegend und hat sich entlang der spanischen und italienischen Meeresküste entwickelt.,Disse Rass stammt ut de westlich Middelmeergegend un hett sück langs de spaansch un italieensch Meeresküst entwkelt.
7452,Wem hat er denn die neue Geschichte erzählt?,’Keen hett he denn de nee’e Geschicht vertellt?
8548,"Kennst du Doktoren, die Japanisch sprechen?","Kennst du Dokters, de Japaansch snackt?"
14276,"Ich flüchte durch die Sümpfe, über zahlreiche Zäune hinweg bis zum offenen Meer.","Ik flücht dör de Sümp, över veel Tüün weg bet na de apen See."
18809,"Zu Beginn der 1990er Jahre veröffentlichte Gabriel auch die multimediale CD-ROM Xplora, die jedoch auf modernen Betriebssystemen nicht mehr benutzt werden kann.","To Anfang vun de 1990er Johren hett Gabriel ok de multimediale CD-ROM Xplora herutbrocht, de aver op modern Bedrievssystemen nich mehr bruukt wurrn kann."
8754,"Er sagte, es sei neun Uhr.","He seed, dat dat Klock negen weer."
27104,Er erhielt die Goldene Leinwand mit Stern und Brillanten.,He kreeg de Golden Lienwand mit Steern un Brillanten.
25699,Im August 2001 wurde Fradique de Menezes zum Präsidenten gewählt.,In’n August 2001 is Fradique de Menezes to’n Präsidenten wählt wurrn.
36742,Er trat 1919 in die Deutsche Demokratische Partei ein.,1919 is he in de Düütsche Demokraatsche Partei intreden.
7331,Der Fluss wird an dieser Stelle plötzlich enger.,De Stroom warrt an düsse Steed opmaal enger.
6780,Ich mache zu viele Fehler.,Ik maak toveel Fehlers.
885,Er ist Dichter.,He is en Dichter.
12495,Du bist nie zufrieden!,Du büst nie tofreden!
13026,"Das Herz selber ist nicht mehr und nicht weniger als ein großer, harter, lederähnlicher Muskel.","Dat Hart is nich mehr un nich minner as en groten, harten, ledderachtigen Muskel."
37121,1902: Marie und Pierre Curie gelingt die Isolierung des chemischen Elements Radium.,1902: Marie un Pierre Curie schafft dat Isoleeren vun Radium.
6352,Willkommen in unserem Haus.,Willkamen in uns Huus.
10387,Was ist deine liebste TV-Serie?,Wat is dien leevste TV-Serie?
17285,"Ich wünschte, ich hätte mehr Zeit dafür gehabt.","Ik woll, ik harr dar mihr Tiet för hatt."
18638,Er nannte es „Königininsel“ – „Drottningholm“.,He hett dat „Königininsel“ – „Drottningholm“ nömmt.
24577,Der übliche Abschluss ist das Abitur.,De Afslutt is dat Abitur.
3397,Ich will jetzt nicht zu Abend essen.,Ik will nu nix to Avend eten.
3482,Das ist meine Muschi.,Dat is mien Kutt.
8589,"Ich bin so hungrig, dass ich ein Pferd essen könnte.","Ik bün so hungerig, dat ik en Peerd eten kunn."
10180,Er hatte kein Dach über dem Kopf.,He harr keen Dack över ’n Kopp.
1360,Fred lügt immer nur.,Freden lüggt man ümmer.
13053,An einem guten Tag kannst du von Helsinki aus die Küste von Estland sehen.,An en goden Dag kannst du vun Helsinki ut de Küst vun Eestland sehn.
40352,Dieser Teil fällt aber der Biologie zu.,Verfall gifft dat ok in de Biologie.
14340,Der Brunnen ist dort hinten.,De Born is dar achtern.
4781,Jemand öffnete die Tür.,Een möök de Döör apen.
